Artist,Title,Label,song_path
The Weeknd,Blinding Lights,1,popular/Blinding Lights.mp3
Olivia Rodrigo,Good 4 U,1,popular/Good 4 U.mp3
Olivia Rodrigo,Drivers License,1,popular/Drivers License.mp3
BTS,Butter,1,popular/Butter.mp3
Olivia Rodrigo,Deja Vu,1,popular/Deja Vu.mp3
Ariana Grande,Positions,1,popular/Positions.mp3
Ed Sheeran,Bad Habits,1,popular/Bad Habits.mp3
Luke Combs,Forever After All,1,popular/Forever After All.mp3
Pop Smoke,What You Know Bout Love,1,popular/What You Know Bout Love.mp3
Cardi B,Up,1,popular/Up.mp3
Lil Baby,On Me,1,popular/On Me.mp3
Olivia Rodrigo,Traitor,1,popular/Traitor.mp3
BTS,Dynamite,1,popular/Dynamite.mp3
Doja Cat,Need To Know,1,popular/Need To Know.mp3
Taylor Swift,Willow,1,popular/Willow.mp3
Luke Combs,Better Together,1,popular/Better Together.mp3
Doja Cat,Streets,1,popular/Streets.mp3
Drake,What's Next,1,popular/What's Next.mp3
Roddy Ricch,Late At Night,1,popular/Late At Night.mp3
Justin Bieber,Anyone,1,popular/Anyone.mp3
Ariana Grande,pov,1,popular/pov.mp3
The Weeknd,Take My Breath,1,popular/Take My Breath.mp3
Post Malone,Circles,1,popular/Circles.mp3
Roddy Ricch,The Box,1,popular/The Box.mp3
Harry Styles,Adore You,1,popular/Adore You.mp3
Maroon 5,Memories,1,popular/Memories.mp3
Doja Cat,Say So,1,popular/Say So.mp3
Harry Styles,Watermelon Sugar,1,popular/Watermelon Sugar.mp3
The Weeknd,Heartless,1,popular/Heartless.mp3
DaBaby,BOP,1,popular/BOP.mp3
Drake,Toosie Slide,1,popular/Toosie Slide.mp3
Morgan Wallen,Chasin' You,1,popular/Chasin' You.mp3
Lil Baby,Woah,1,popular/Woah.mp3
Justin Bieber,Yummy,1,popular/Yummy.mp3
Lil Baby,Emotionally Scarred,1,popular/Emotionally Scarred.mp3
Lil Baby,The Bigger Picture,1,popular/The Bigger Picture.mp3
Jonas Brothers,Only Human,1,popular/Only Human.mp3
Lil Baby,Sum 2 Prove,1,popular/Sum 2 Prove.mp3
Pop Smoke,Dior,1,popular/Dior.mp3
Luke Combs,Even Though I'm Leaving,1,popular/Even Though I'm Leaving.mp3
Juice WRLD,Wishing Well,1,popular/Wishing Well.mp3
Morgan Wallen,More Than My Hometown,1,popular/More Than My Hometown.mp3
Luke Combs,Lovin' On You,1,popular/Lovin' On You.mp3
Post Malone,Wow.,1,popular/Wow..mp3
Ariana Grande,7 Rings,1,popular/7 Rings.mp3
Jonas Brothers,Sucker,1,popular/Sucker.mp3
Ariana Grande,"Thank U, Next",1,"popular/Thank U, Next.mp3"
DaBaby,Suge,1,popular/Suge.mp3
Shawn Mendes,If I Can't Have You,1,popular/If I Can't Have You.mp3
Post Malone,Better Now,1,popular/Better Now.mp3
Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",1,"popular/Break Up With Your Girlfriend, I'm Bored.mp3"
Cardi B,Money,1,popular/Money.mp3
Taylor Swift,You Need To Calm Down,1,popular/You Need To Calm Down.mp3
Luke Combs,Beautiful Crazy,1,popular/Beautiful Crazy.mp3
Juice WRLD,Lucid Dreams,1,popular/Lucid Dreams.mp3
Morgan Wallen,Whiskey Glasses,1,popular/Whiskey Glasses.mp3
Luke Combs,Beer Never Broke My Heart,1,popular/Beer Never Broke My Heart.mp3
Ariana Grande,Breathin,1,popular/Breathin.mp3
Lil Baby,Close Friends,1,popular/Close Friends.mp3
Juice WRLD,Robbery,1,popular/Robbery.mp3
Drake,God's Plan,1,popular/God's Plan.mp3
Ed Sheeran,Perfect,1,popular/Perfect.mp3
Drake,In My Feelings,1,popular/In My Feelings.mp3
Drake,Nice For What,1,popular/Nice For What.mp3
XXXTENTACION,Sad!,1,popular/Sad!.mp3
Camila Cabello,Never Be The Same,1,popular/Never Be The Same.mp3
Ariana Grande,No Tears Left To Cry,1,popular/No Tears Left To Cry.mp3
Imagine Dragons,Thunder,1,popular/Thunder.mp3
Taylor Swift,Delicate,1,popular/Delicate.mp3
Imagine Dragons,Whatever It Takes,1,popular/Whatever It Takes.mp3
Post Malone,I Fall Apart,1,popular/I Fall Apart.mp3
Shawn Mendes,In My Blood,1,popular/In My Blood.mp3
Drake,Nonstop,1,popular/Nonstop.mp3
Cardi B,Bodak Yellow (Money Moves),1,popular/Bodak Yellow (Money Moves).mp3
Maroon 5,Wait,1,popular/Wait.mp3
Cardi B,Be Careful,1,popular/Be Careful.mp3
Ariana Grande,God Is A Woman,1,popular/God Is A Woman.mp3
Imagine Dragons,Natural,1,popular/Natural.mp3
Ed Sheeran,Shape Of You,1,popular/Shape Of You.mp3
The Weeknd,Call Out My Name,1,popular/Call Out My Name.mp3
Drake,I'm Upset,1,popular/I'm Upset.mp3
XXXTENTACION,Moonlight,1,popular/Moonlight.mp3
XXXTENTACION,Changes,1,popular/Changes.mp3
Luke Combs,One Number Away,1,popular/One Number Away.mp3
Imagine Dragons,Believer,1,popular/Believer.mp3
Bruno Mars,That's What I Like,1,popular/That's What I Like.mp3
Bruno Mars,24K Magic,1,popular/24K Magic.mp3
Shawn Mendes,There's Nothing Holdin' Me Back,1,popular/There's Nothing Holdin' Me Back.mp3
Rihanna,Love On The Brain,1,popular/Love On The Brain.mp3
Drake,Fake Love,1,popular/Fake Love.mp3
Taylor Swift,Look What You Made Me Do,1,popular/Look What You Made Me Do.mp3
Ed Sheeran,Castle On The Hill,1,popular/Castle On The Hill.mp3
Justin Timberlake,Can't Stop The Feeling!,1,popular/Can't Stop The Feeling!.mp3
Shawn Mendes,Mercy,1,popular/Mercy.mp3
twenty one pilots,Heathens,1,popular/Heathens.mp3
Drake,Passionfruit,1,popular/Passionfruit.mp3
Luke Combs,Hurricane,1,popular/Hurricane.mp3
Harry Styles,Sign Of The Times,1,popular/Sign Of The Times.mp3
Adele,Water Under The Bridge,1,popular/Water Under The Bridge.mp3
Miley Cyrus,Malibu,1,popular/Malibu.mp3
Shawn Mendes,Treat You Better,1,popular/Treat You Better.mp3
XXXTENTACION,Look At Me!,1,popular/Look At Me!.mp3
Justin Bieber,Love Yourself,1,popular/Love Yourself.mp3
Justin Bieber,Sorry,1,popular/Sorry.mp3
twenty one pilots,Stressed Out,1,popular/Stressed Out.mp3
Adele,Hello,1,popular/Hello.mp3
Rihanna,Needed Me,1,popular/Needed Me.mp3
twenty one pilots,Ride,1,popular/Ride.mp3
Shawn Mendes,Stitches,1,popular/Stitches.mp3
Drake,Hotline Bling,1,popular/Hotline Bling.mp3
Adele,Send My Love (To Your New Lover),1,popular/Send My Love (To Your New Lover).mp3
Justin Bieber,What Do You Mean?,1,popular/What Do You Mean?.mp3
The Weeknd,The Hills,1,popular/The Hills.mp3
Ariana Grande,Dangerous Woman,1,popular/Dangerous Woman.mp3
Drake,Controlla,1,popular/Controlla.mp3
Ariana Grande,Into You,1,popular/Into You.mp3
The Weeknd,In The Night,1,popular/In The Night.mp3
Post Malone,White Iverson,1,popular/White Iverson.mp3
The Weeknd,Can't Feel My Face,1,popular/Can't Feel My Face.mp3
Coldplay,Hymn For The Weekend,1,popular/Hymn For The Weekend.mp3
Taylor Swift,Wildest Dreams,1,popular/Wildest Dreams.mp3
Adele,When We Were Young,1,popular/When We Were Young.mp3
Chris Brown,Back To Sleep,1,popular/Back To Sleep.mp3
Coldplay,Adventure Of A Lifetime,1,popular/Adventure Of A Lifetime.mp3
Ed Sheeran,Thinking Out Loud,1,popular/Thinking Out Loud.mp3
Maroon 5,Sugar,1,popular/Sugar.mp3
Taylor Swift,Blank Space,1,popular/Blank Space.mp3
The Weeknd,Earned It (Fifty Shades Of Grey),1,popular/Earned It (Fifty Shades Of Grey).mp3
Taylor Swift,Shake It Off,1,popular/Shake It Off.mp3
Taylor Swift,Style,1,popular/Style.mp3
Ed Sheeran,Photograph,1,popular/Photograph.mp3
Maroon 5,Animals,1,popular/Animals.mp3
Rihanna,B**** Better Have My Money,1,popular/B**** Better Have My Money.mp3
Beyonce,11-Jul,1,popular/11-Jul.mp3
One Direction,Drag Me Down,1,popular/Drag Me Down.mp3
Ariana Grande,One Last Time,1,popular/One Last Time.mp3
Ed Sheeran,Don't,1,popular/Don't.mp3
One Direction,Night Changes,1,popular/Night Changes.mp3
Drake,Back To Back,1,popular/Back To Back.mp3
Pharrell Williams,Happy,1,popular/Happy.mp3
Imagine Dragons,Demons,1,popular/Demons.mp3
One Direction,Story Of My Life,1,popular/Story Of My Life.mp3
